time_s,frame,fps,steps_s,kbps,encode_ms
2.264,1,1.0,1.0,64146,46.793
3.589,3,1.5,1.5,100142,43.564
5.175,5,1.3,1.3,83716,56.266
6.935,7,1.1,1.1,75407,43.161
8.269,9,1.5,1.5,99427,46.432
9.803,11,1.3,1.3,86553,44.488
11.585,13,1.1,1.1,74444,45.892
12.703,14,0.9,0.9,59385,45.484
14.501,16,1.1,1.1,73781,44.416
15.618,17,0.9,0.9,59407,42.751
17.476,19,1.1,1.1,71417,45.872
19.169,21,1.2,1.2,78401,45.827
20.627,23,1.4,1.4,91056,42.869
